LibraryPlate,SourceWell,LibraryName,CompoundSMILES,OSA_ID,CompoundCode
1031210-Y5-01,A02,Mur_Eyerman_set,O=C(NCC=1C=CC=2OCOC2C1)C3=NNC=4C=CC=CC34,OSA_000076,Z31428352
1031210-Y5-01,AA02,Mur_Eyerman_set,CS(=O)(=O)NC=1C=C(C=CC1F)C(=O)NC=2C=CC3=CNN=C3C2,OSA_000077,Z1005269362
1031210-Y5-01,AB02,Mur_Eyerman_set,NC(=O)C=1C=CC(CSC=2N=C(N)C=C(N)N2)=C(C1)[N+](=O)[O-],OSA_000078,Z165645656
1031210-Y5-01,AC02,Mur_Eyerman_set,NC=1N=C(CN(CC2CCCO2)CC=3C=CC=NC3)N=C4C=CC=CC14,OSA_000079,Z1469057666
1031210-Y5-01,AD02,Mur_Eyerman_set,CC1OC=2C=CC(NC(=O)CC3=CNC=4C=CC=CC34)=CC2NC1=O,OSA_000080,Z110096110
1031210-Y5-01,AE02,Mur_Eyerman_set,CC=1C=C(NC(=O)NCCNC(=O)C2=CC=CN2C)C=C3NN=CC13,OSA_000081,Z1557592893
1031210-Y5-01,AF02,Mur_Eyerman_set,OC=1C=CC(C2=CSC(NC=3C=CC=4OCCOC4C3)=N2)=C(O)C1,OSA_000082,Z48851300
1031210-Y5-01,B02,Mur_Eyerman_set,COC=1C=CC(OCC2=CC=3C=CC=CC3C(=O)N2)=C(C1)C(=O)N,OSA_000083,Z1742686736
1031210-Y5-01,C02,Mur_Eyerman_set,O=C(NCC=1C=CC=2OCOC2C1)C3=NNC(=O)C=4C=CC=CC34,OSA_000084,Z27695286
1031210-Y5-01,D02,Mur_Eyerman_set,COC=1C=C2N=C(CN(C)C=3C=CC=C(O)C3)NC(=O)C2=CC1OC,OSA_000085,Z1230415721
1031210-Y5-01,E02,Mur_Eyerman_set,OC=1C=CC=C(NC(=O)CCC2=NC=3C=CC=CC3C(=O)N2)C1,OSA_000086,Z31717432
1031210-Y5-01,F02,Mur_Eyerman_set,CC1=NN=C(O1)C2CN(CCO2)C(=O)CN3C(=O)NC=4C=CC=CC34,OSA_000087,Z1754180927
1031210-Y5-01,G02,Mur_Eyerman_set,COC=1C=CC(OCC2=NNC(=N2)C=3C=CC=NC3)=CC1,OSA_000088,Z57339412
1031210-Y5-01,H02,Mur_Eyerman_set,COC(C)(C)C1=NOC(CC2=CSC(=N2)N3CCNC3=O)=N1,OSA_000089,Z1381367571
1031210-Y5-01,I02,Mur_Eyerman_set,COCCNC(=O)CSC1=NN=C2NC=3C=CC=CC3N12,OSA_000090,Z16225295
1031210-Y5-01,J02,Mur_Eyerman_set,O=C1NCCN1C2=NC(CC3=NC(=NO3)C4CCOC4)=CS2,OSA_000091,Z1407882427
1031210-Y5-01,K02,Mur_Eyerman_set,COC=1C=CC(CNC(=O)C2=C(C)OC=3N=CNC(=O)C23)=CC1,OSA_000092,Z94789885
1031210-Y5-01,L02,Mur_Eyerman_set,Cl.Cl.CCN1CCN(CC1)C=2C=NC=C(Br)C2,OSA_000093,Z1172208621
1031210-Y5-01,M02,Mur_Eyerman_set,NC=1NN=C(CCCCCNC=2N=CN=C3SC=CC23)C1C#N,OSA_000094,Z31129458
1031210-Y5-01,N02,Mur_Eyerman_set,CCC=1C=C(NN1)C(=O)NCC(N(C)C)C=2C=CC(OC)=CC2,OSA_000095,Z365298776
1031210-Y5-01,O02,Mur_Eyerman_set,CC(SC=1N=C(N)N=C(N)N1)C(=O)NCC=2C=CC=3OCOC3C2,OSA_000096,Z17559315
1031210-Y5-01,P02,Mur_Eyerman_set,COC=1C=CC(=CC1)C2=CC(=NN2)N(C)CC3=NNC(=O)S3,OSA_000097,Z1824274849
1031210-Y5-01,Q02,Mur_Eyerman_set,COC=1C=CC(CNC(=O)C2=C(C)OC=3N=CNC(=O)C23)=CC1OC,OSA_000098,Z82184050
1031210-Y5-01,R02,Mur_Eyerman_set,NS(=O)(=O)C=1C=CC=C(NC(=O)C2=CC=3CCCC3S2)C1,OSA_000099,Z56831588
1031210-Y5-01,S02,Mur_Eyerman_set,CC1=NN(C)C=2NC(=O)C(CCC(=O)NC=3C=NN(C)C3)=C(C)C12,OSA_000100,Z373770778
1031210-Y5-01,T02,Mur_Eyerman_set,C(SC=1N=NC=2C=3C=CC=CC3NC2N1)C4=NC=5C=CC=CC5S4,OSA_000101,Z19126119
1031210-Y5-01,U02,Mur_Eyerman_set,NC=1N=C(NCC=2C=CC=3OCOC3C2)N=CC1[N+](=O)[O-],OSA_000102,Z641206860
1031210-Y5-01,V02,Mur_Eyerman_set,COC=1C=CC(NC(=O)CSC=2N=CN=C3NN=CC23)=CC1,OSA_000103,Z56936356
1031210-Y5-01,W02,Mur_Eyerman_set,CC1=NC(=NN1)C=2C=CC=C(CNC(=O)C3=CC=CS3)C2,OSA_000104,Z1530946344
1031210-Y5-01,X02,Mur_Eyerman_set,COC=1C=CC=CC1C=2C=C(CSC=3N=C(N)N=C(N)N3)ON2,OSA_000105,Z217737566
1031210-Y5-01,Y02,Mur_Eyerman_set,CS(=O)C=1C=CC(CNC=2C=CC(NC(=O)C3CC3)=NC2)=CC1,OSA_000106,Z1478432600
1031210-Y5-01,Z02,Mur_Eyerman_set,O=C(NCC1COC=2C=CC=CC2O1)C3=NNC(=O)C=4C=CC=CC34,OSA_000107,Z29885103
1031210-Y5-01,A03,Mur_Eyerman_set,NC(=O)CN1CCCC1C=2C=CC=3OCCOC3C2,OSA_000108,Z103860258
1031210-Y5-01,AA03,Mur_Eyerman_set,NC(=O)C(CC=1C=CC=CC1)NC(=O)CN2C=C(N=N2)C=3C=CC=CC3,OSA_000109,Z1426335808
1031210-Y5-01,AB03,Mur_Eyerman_set,COC=1C=CC(CNC=2N=CC([N+](=O)[O-])=C(N)N2)=CN1,OSA_000110,Z643599154
1031210-Y5-01,AC03,Mur_Eyerman_set,COC(C(=O)NC=1C=CC=2OC(C)C(=O)NC2C1)C=3C=CC=CC3,OSA_000111,Z442692294
1031210-Y5-01,AD03,Mur_Eyerman_set,CCCCC1=NN=C(NC(=O)CN(C)C=2N=CN=C3N=CNC23)S1,OSA_000112,Z776735836
1031210-Y5-01,AE03,Mur_Eyerman_set,CN1C=C(C=N1)C2=NC(CNC=3C=C(Cl)C=CC3C(=O)N)=CS2,OSA_000113,Z1419679430
1031210-Y5-01,AF03,Mur_Eyerman_set,NC=1N=C(CSCC(=O)NC=2C=CC=CC2)N=C3C=CC=CC13,OSA_000114,Z1137690688
1031210-Y5-01,B03,Mur_Eyerman_set,CN1N=CC=C1CC2=NOC(=N2)C3=NNC(=O)C=4C=CC=CC34,OSA_000115,Z1685134911
1031210-Y5-01,C03,Mur_Eyerman_set,Cl.NC(=O)C=1C=C(C=CC1O)C2=CSC(NC3CC3)=N2,OSA_000116,Z203053480
1031210-Y5-01,D03,Mur_Eyerman_set,CC1(CCNC(=O)CC1)C=2C=CC=CC2,OSA_000117,Z2028214363
1031210-Y5-01,E03,Mur_Eyerman_set,COC=1C=CC(OCC=2N=C(N)C=3C=CC=CC3N2)=C(C1)[N+](=O)[O-],OSA_000118,Z167849056
1031210-Y5-01,F03,Mur_Eyerman_set,CCC1=CC(=NN1)C(=O)NCC=2C=CC(=CC2)C(=O)O,OSA_000119,Z1443594996
1031210-Y5-01,G03,Mur_Eyerman_set,CN(C)C(=O)CNC(=O)CSC=1N=C(N)C=2C=CSC2N1,OSA_000120,Z166467790
1031210-Y5-01,H03,Mur_Eyerman_set,O=C(CC=1C=CC=2C=NNC2C1)N3CCN(CC3)C=4N=CC=CN4,OSA_000121,Z1835954542
1031210-Y5-01,I03,Mur_Eyerman_set,NC=1N=C(COC=2C=CC(=CC2)[N+](=O)[O-])N=C3C=CC=CC13,OSA_000122,Z167838862
1031210-Y5-01,J03,Mur_Eyerman_set,CC1(CC1)C=2C=C(NN2)N3CCN(CC3)C(=O)C=4C=CN=CC4F,OSA_000123,Z1952865255
1031210-Y5-01,K03,Mur_Eyerman_set,NC=1N=C(SCC2=COC(=N2)C3=CC=CS3)N=C4SC=CC14,OSA_000124,Z166468496
1031210-Y5-01,L03,Mur_Eyerman_set,NC(=O)C=1C=NN2CCC(CNC(=O)C=3C=CC=4NC=NC4C3)CC12,OSA_000125,Z1852075533
1031210-Y5-01,M03,Mur_Eyerman_set,CC(C)CNC(=O)NC(=O)CSC=1N=C(N)C=2C=CSC2N1,OSA_000126,Z166465770
1031210-Y5-01,N03,Mur_Eyerman_set,CC(NC(=O)C1=NNC=2C=CC=CC12)C=3C=CC=C(C3)S(=O)(=O)N,OSA_000127,Z191126564
1031210-Y5-01,O03,Mur_Eyerman_set,NC=1N=C(CSC=2N=CC=CN2)N=C3SC=4CCCCC4C13,OSA_000128,Z167801970
1031210-Y5-01,P03,Mur_Eyerman_set,CC(C)C1=NSC(=N1)N2CCCC(C2)C3=NNC(=O)O3,OSA_000129,Z2033609726
1031210-Y5-01,Q03,Mur_Eyerman_set,CS(=O)C=1C=CC(CNC=2N=CC([N+](=O)[O-])=C(N)N2)=CC1,OSA_000130,Z1357256284
1031210-Y5-01,R03,Mur_Eyerman_set,CC(NC(=O)CC1=NNC(=O)C=2C=CC=CC12)C=3C=CC=NC3,OSA_000131,Z83017152
1031210-Y5-01,S03,Mur_Eyerman_set,NC(=O)C=1C=CC=CC1N2CCC(C2)NC(=O)C=3C=CC(Cl)=CN3,OSA_000132,Z1231837049
1031210-Y5-01,T03,Mur_Eyerman_set,NC=1N=C(COC=2C=CC=NC2[N+](=O)[O-])N=C3C=CC=CC13,OSA_000133,Z167856942
