LibraryPlate,SourceWell,LibraryName,CompoundSMILES,CompoundCode,CompoundConcentration,SoakingTime,HarvestStatus,CrystalName,MountingResult,DataCollectionBeamline,DataCollectionDate,DataCollectionOutcome
DSIpoised_001_Set1,Y17,DSIpoised,ClC=1C=CC=C(NC(=O)CN2CCCC2)C1,Z2735692823,52.2,01:20:14,done,MUREECA-x0056,OK: Mounted Clear,i04-1,05/07/2018 22:51,Failed - low resolution
DSIpoised_001_Set1,X08,DSIpoised,FC=1C=CC=C(CNCC2=CC=CO2)C1,Z2737076969,52.2,01:21:21,done,MUREECA-x0057,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,V12,DSIpoised,CC=1C=CC(CC(=O)NC[C@@H]2CCCO2)=CC1,Z2064898339,52.2,01:21:55,done,MUREECA-x0058,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,N29,DSIpoised,FC=1C=CC=C(NC(=O)COC=2C=CC=CC2)C1,Z19735192,52.2,01:22:28,done,MUREECA-x0059,OK: Mounted Clear,i04-1,05/07/2018 09:30,success
DSIpoised_001_Set1,F19,DSIpoised,CCN1C=C(NC(=O)C2CCC2)C=N1,Z373768900,52.2,01:23:03,done,MUREECA-x0060,OK: Mounted Clear,i04-1,05/07/2018 09:31,success
DSIpoised_001_Set1,T33,DSIpoised,CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2,Z2856434836,52.2,01:24:15,done,MUREECA-x0061,OK: Mounted Clear,i04-1,05/07/2018 09:31,success
DSIpoised_001_Set1,X11,DSIpoised,CC(NC(=O)C=1C=CC=C(C)N1)C2CC2,Z287256168,52.2,01:24:45,done,MUREECA-x0062,OK: Mounted Clear,i04-1,05/07/2018 09:32,success
DSIpoised_001_Set1,G11,DSIpoised,CC1=CSC(CNC(=O)C=2C=CNN2)=N1,Z466628048,52.2,01:25:50,done,MUREECA-x0063,OK: Mounted Clear,i04-1,05/07/2018 09:32,success
DSIpoised_001_Set1,F17,DSIpoised,CC1=NOC(C)=C1C(=O)NCCC2=CCCCC2,Z69092635,52.2,01:26:26,done,MUREECA-x0064,OK: Mounted Clear,i04-1,05/07/2018 09:32,success
DSIpoised_001_Set1,X20,DSIpoised,C(NC1=NC=2C=CC=CC2N1)C3=CC=CO3,Z57299526,52.2,01:27:05,done,MUREECA-x0065,OK: Mounted Clear,i04-1,05/07/2018 09:33,success
DSIpoised_001_Set1,F16,DSIpoised,CCC=1C=CC=CC1NC(=O)C=2SN=NC2C,Z89385775,52.2,01:28:44,done,MUREECA-x0066,OK: Mounted Clear,i04-1,05/07/2018 09:33,success
DSIpoised_001_Set1,L10,DSIpoised,C(NCC=1C=CN=CC1)C2=CC=CS2,Z2856434816,52.2,01:29:39,done,MUREECA-x0067,OK: Mounted Clear,i04-1,05/07/2018 09:34,success
DSIpoised_001_Set1,V11,DSIpoised,CC=1C=CC(NC(=O)C2CCCO2)=NC1,Z71580604,52.2,01:30:33,done,MUREECA-x0068,OK: Mounted Clear,i04-1,05/07/2018 09:34,Failed - low resolution
DSIpoised_001_Set1,R17,DSIpoised,O=C(NC1=NC=CS1)[C@@H]2C[C@H]2C=3C=CC=CC3,Z2064107709,52.2,01:31:31,done,MUREECA-x0069,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,U23,DSIpoised,COC=1C=CC=2N=C(NC(=O)C3CC3)SC2C1,Z27678561,52.2,01:32:04,done,MUREECA-x0070,OK: Mounted Clear,i04-1,05/07/2018 09:35,success
DSIpoised_001_Set1,L07,DSIpoised,CCC1=CC=C(S1)C(=O)NCC=2C=NN(C)C2,Z804566442,52.2,01:32:45,done,MUREECA-x0071,OK: Mounted Clear,i04-1,05/07/2018 09:36,Failed - low resolution
DSIpoised_001_Set1,G30,DSIpoised,COC=1C=CC(CNC(=O)C2=CSN=N2)=CC1,Z741218268,52.2,01:33:18,done,MUREECA-x0072,OK: Mounted Clear,i04-1,05/07/2018 09:14,success
DSIpoised_001_Set1,S32,DSIpoised,CC1=CSC(NC(=O)NC=2C=CC=C(C)C2)=N1,Z44602971,52.2,01:33:52,done,MUREECA-x0073,OK: Mounted Clear,None,None,None
DSIpoised_001_Set1,L16,DSIpoised,ClC=1C=CC=C(C1)C(=O)NC=2C=CON2,Z86622311,52.2,01:35:05,done,MUREECA-x0074,OK: Mounted Clear,i04-1,05/07/2018 09:14,success
DSIpoised_001_Set1,U21,DSIpoised,COC=1C=CC=C(C1)C(=O)NC=2C=CC=CC2F,Z28290384,52.2,01:35:32,done,MUREECA-x0075,OK: Mounted Clear,i04-1,05/07/2018 09:14,success
DSIpoised_001_Set1,R22,DSIpoised,COC=1C=CC(NCC=2C=CC(F)=CC2)=CC1,Z57328997,52.2,01:36:59,done,MUREECA-x0076,OK: Mounted Clear,i04-1,05/07/2018 09:15,success
DSIpoised_001_Set1,T15,DSIpoised,OC=1C=CC=C(CN2CCSCC2)C1,Z2856434857,52.2,01:37:35,done,MUREECA-x0077,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,Z20,DSIpoised,O=C(NC=1C=CC=NC1)C=2C=NN3C=CC=NC23,Z296054478,52.2,01:38:14,done,MUREECA-x0078,OK: Mounted Clear,i04-1,05/07/2018 09:17,success
DSIpoised_001_Set1,J17,DSIpoised,CCN1C=C(C=N1)C(=O)NCC=2C=CC(F)=CC2,Z1203107138,52.2,01:41:36,done,MUREECA-x0079,OK: Mounted Clear,i04-1,05/07/2018 09:19,success
DSIpoised_001_Set1,P17,DSIpoised,CCC1CCC(CC1)NC[C@H]2CCCO2,Z2856434866,52.2,01:45:24,fail,,FAIL: Unpickable,,,
DSIpoised_001_Set1,N07,DSIpoised,O=C(N1CCCCCC1)C=2C=CC=3OCOC3C2,Z31432226,52.2,01:46:27,done,MUREECA-x0080,OK: Mounted Clear,i04-1,05/07/2018 09:19,Failed - low resolution
DSIpoised_001_Set1,X16,DSIpoised,CC1CCN(CC2=CNC=3C=CC=CC23)CC1,Z2856434912,52.2,01:47:39,done,MUREECA-x0081,OK: Mounted Clear,i04-1,05/07/2018 22:46,success
DSIpoised_001_Set1,X29,DSIpoised,CC(C)(C)C1CCN(CC1)C(=O)C=2C=CC=CC2,Z1217741507,52.2,01:48:32,done,MUREECA-x0082,OK: Mounted Clear,i04-1,05/07/2018 09:20,success
DSIpoised_001_Set1,J37,DSIpoised,CC=1C=CC=CC1OCC(=O)NC=2C=CC=CC2,Z19733979,52.2,01:49:20,done,MUREECA-x0083,OK: Crystalline,i04-1,05/07/2018 09:21,success
DSIpoised_001_Set1,G21,DSIpoised,O=C(NCCC=1C=CC=CC1)NC2CCCCC2,Z44585920,52.2,01:49:54,done,MUREECA-x0084,OK: Mounted Clear,i04-1,05/07/2018 09:22,success
DSIpoised_001_Set1,O32,DSIpoised,O=C(NCCN1CCCC1=O)NC=2C=CC=CC2,Z2472938267,52.2,01:50:35,done,MUREECA-x0085,OK: Mounted Clear,i04-1,05/07/2018 09:22,Failed - low resolution
DSIpoised_001_Set1,U25,DSIpoised,ClC=1C=CC(CC(=O)NC=2N=CC=CN2)=CC1,Z203581214,52.2,01:47:04,done,MUREECA-x0086,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,L09,DSIpoised,C(N1CCOCC1)C2=NC(=NO2)C3CC3,Z295848548,52.2,01:48:43,done,MUREECA-x0087,OK: Mounted Clear,i04-1,05/07/2018 09:23,success
DSIpoised_001_Set1,O28,DSIpoised,OC=1C=CC(CN2CCC=3C=CC=CC3C2)=CC1,Z2856434812,52.2,01:49:21,done,MUREECA-x0088,OK: Mounted Clear,i04-1,05/07/2018 10:25,success
DSIpoised_001_Set1,R07,DSIpoised,CN1C=CC(NCC=2C=CC=CC2)=N1,Z1401333862,52.2,01:51:04,done,MUREECA-x0089,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,F14,DSIpoised,CC1=CC(=NS1)C(=O)NCC2CCCO2,Z1881545321,52.2,01:51:55,done,MUREECA-x0090,OK: Mounted Clear,i04-1,05/07/2018 10:28,success
DSIpoised_001_Set1,J29,DSIpoised,CC=1C=CC(CN2CCS(=O)(=O)CC2)=CC1,Z2856434929,52.2,01:52:30,done,MUREECA-x0091,OK: Mounted Clear,i04-1,05/07/2018 10:30,success
DSIpoised_001_Set1,Y22,DSIpoised,OC1CCN(CC=2C=CSC2)CC1,Z2856434899,52.2,01:52:55,done,MUREECA-x0092,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,K15,DSIpoised,CC=1C=C(ON1)C(=O)NC=2C=CN(C)N2,Z240297434,52.2,01:53:44,done,MUREECA-x0093,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,T18,DSIpoised,OC=1C=CC=CC1C2=NC(=NO2)C=3C=CC=CC3,Z276351322,52.2,01:54:58,fail,,FAIL: Unpickable,,,
DSIpoised_001_Set1,H07,DSIpoised,CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1,Z275181224,52.2,01:55:35,done,MUREECA-x0094,OK: Mounted Clear,i04-1,05/07/2018 23:30,success
DSIpoised_001_Set1,K28,DSIpoised,OC=1C=CC=CC1CNC2=NC=3C=CC=CC3N2,Z1587220559,52.2,01:56:09,done,MUREECA-x0095,OK: Mounted Clear,i04-1,05/07/2018 10:38,success
DSIpoised_001_Set1,X21,DSIpoised,CC=1NC=NC1CN2CCC=3C=CC=CC3C2,Z2856434879,52.2,01:56:49,done,MUREECA-x0096,OK: Mounted Clear,i04-1,05/07/2018 10:41,success
DSIpoised_001_Set1,R19,DSIpoised,CCOC(=O)C1CCN(CC1)C=2C=NC=CN2,Z31217395,52.2,01:57:53,done,MUREECA-x0097,OK: Mounted Clear,i04-1,None,Failed - unknown
DSIpoised_001_Set1,F11,DSIpoised,CC1=NC=C(CN2CCNCC2)S1,Z1171217421,52.2,01:58:07,fail,,FAIL: Melted,,,
DSIpoised_001_Set1,F27,DSIpoised,CC1=NN=C(CN2CCC=C(F)C2)S1,Z1619978933,52.2,01:59:27,done,MUREECA-x0098,OK: Mounted Clear,i04-1,05/07/2018 10:43,success
