CrystalName,CompoundSMILES,CompoundCode,MountingResult,DataCollectionOutcome,LigandBound
MUREECA-x0263,O=C(NCC=1C=CC=2OCOC2C1)C3=NNC=4C=CC=CC34,Z31428352,OK,success,No
MUREECA-x0264,CS(=O)(=O)NC=1C=C(C=CC1F)C(=O)NC=2C=CC3=CNN=C3C2,Z1005269362,OK,success,No
MUREECA-x0265,NC(=O)C=1C=CC(CSC=2N=C(N)C=C(N)N2)=C(C1)[N+](=O)[O-],Z165645656,OK,success,No
MUREECA-x0266,NC=1N=C(CN(CC2CCCO2)CC=3C=CC=NC3)N=C4C=CC=CC14,Z1469057666,OK,success,No
MUREECA-x0267,CC1OC=2C=CC(NC(=O)CC3=CNC=4C=CC=CC34)=CC2NC1=O,Z110096110,OK,success,No
MUREECA-x0268,CC=1C=C(NC(=O)NCCNC(=O)C2=CC=CN2C)C=C3NN=CC13,Z1557592893,OK,success,No
MUREECA-x0269,OC=1C=CC(C2=CSC(NC=3C=CC=4OCCOC4C3)=N2)=C(O)C1,Z48851300,OK,success,No
MUREECA-x0270,COC=1C=CC(OCC2=CC=3C=CC=CC3C(=O)N2)=C(C1)C(=O)N,Z1742686736,OK,success,No
MUREECA-x0271,O=C(NCC=1C=CC=2OCOC2C1)C3=NNC(=O)C=4C=CC=CC34,Z27695286,OK,success,No
MUREECA-x0272,COC=1C=C2N=C(CN(C)C=3C=CC=C(O)C3)NC(=O)C2=CC1OC,Z1230415721,OK,success,No
MUREECA-x0273,OC=1C=CC=C(NC(=O)CCC2=NC=3C=CC=CC3C(=O)N2)C1,Z31717432,OK,success,No
MUREECA-x0274,CC1=NN=C(O1)C2CN(CCO2)C(=O)CN3C(=O)NC=4C=CC=CC34,Z1754180927,OK,success,No
MUREECA-x0275,COC=1C=CC(OCC2=NNC(=N2)C=3C=CC=NC3)=CC1,Z57339412,OK,success,No
MUREECA-x0276,COC(C)(C)C1=NOC(CC2=CSC(=N2)N3CCNC3=O)=N1,Z1381367571,OK,success,No
MUREECA-x0277,COCCNC(=O)CSC1=NN=C2NC=3C=CC=CC3N12,Z16225295,OK,success,No
MUREECA-x0278,O=C1NCCN1C2=NC(CC3=NC(=NO3)C4CCOC4)=CS2,Z1407882427,OK,None,
MUREECA-x0279,COC=1C=CC(CNC(=O)C2=C(C)OC=3N=CNC(=O)C23)=CC1,Z94789885,OK,None,
MUREECA-x0280,Cl.Cl.CCN1CCN(CC1)C=2C=NC=C(Br)C2,Z1172208621,OK,success,No
MUREECA-x0281,NC=1NN=C(CCCCCNC=2N=CN=C3SC=CC23)C1C#N,Z31129458,OK,success,No
MUREECA-x0282,CCC=1C=C(NN1)C(=O)NCC(N(C)C)C=2C=CC(OC)=CC2,Z365298776,OK,success,No
MUREECA-x0283,CC(SC=1N=C(N)N=C(N)N1)C(=O)NCC=2C=CC=3OCOC3C2,Z17559315,OK,None,
MUREECA-x0284,COC=1C=CC(=CC1)C2=CC(=NN2)N(C)CC3=NNC(=O)S3,Z1824274849,OK,None,
MUREECA-x0285,COC=1C=CC(CNC(=O)C2=C(C)OC=3N=CNC(=O)C23)=CC1OC,Z82184050,OK,success,No
MUREECA-x0286,NS(=O)(=O)C=1C=CC=C(NC(=O)C2=CC=3CCCC3S2)C1,Z56831588,OK,None,
MUREECA-x0287,CC1=NN(C)C=2NC(=O)C(CCC(=O)NC=3C=NN(C)C3)=C(C)C12,Z373770778,OK,success,No
MUREECA-x0288,C(SC=1N=NC=2C=3C=CC=CC3NC2N1)C4=NC=5C=CC=CC5S4,Z19126119,OK,success,No
MUREECA-x0289,NC=1N=C(NCC=2C=CC=3OCOC3C2)N=CC1[N+](=O)[O-],Z641206860,OK,success,No
,COC=1C=CC(NC(=O)CSC=2N=CN=C3NN=CC23)=CC1,Z56936356,FAIL,,
MUREECA-x0290,CC1=NC(=NN1)C=2C=CC=C(CNC(=O)C3=CC=CS3)C2,Z1530946344,OK,success,No
MUREECA-x0291,COC=1C=CC=CC1C=2C=C(CSC=3N=C(N)N=C(N)N3)ON2,Z217737566,OK,success,No
